41204,Nov,"7,",2017,11:59:28,PM,(UTC),12,QMdKQnBF7nhuLA9bXJk2fRPA8jpyqLzV7f,4064,,
41203,Nov,"7,",2017,11:50:40,PM,(UTC),2,QQujfYYrEd3G3bwjZWiBRzyxYwmvK3fyRy,926,,
41202,Nov,"7,",2017,11:50:08,PM,(UTC),3,QX3S7HaYCKZ2sGZMkfjziWeQtWPQdnpijN,1153,,
41201,Nov,"7,",2017,11:47:12,PM,(UTC),7,QTAnGnNKj3jdTUbjJmL3g8nFkxkZtzxUxY,2497,,
41200,Nov,"7,",2017,11:45:36,PM,(UTC),5,QgSBDuvX7E6kv2aXp5BBC2B7kAHHQRwL2f,1751,,
41199,Nov,"7,",2017,11:41:52,PM,(UTC),3,QYHXiuJVwDH65ZLhaqczHy5Ad2SjY5gkey,1185,,
41198,Nov,"7,",2017,11:40:48,PM,(UTC),5,Qdxye5vqkjzRJCBpf62uYgzyiPtrxz2nT1,2045,,
41197,Nov,"7,",2017,11:39:44,PM,(UTC),2,QXMhVY4SykaEQc9sJC7WZrrMrDepnNGsMX,926,,
41196,Nov,"7,",2017,11:38:08,PM,(UTC),3,QVhG8arAMLg6chVDQ4mB5RqNLqYAwBKLsa,1298,,
41195,Nov,"7,",2017,11:37:20,PM,(UTC),3,QcTBUCAbHPqVL7M72QqDQV6Vb6pe64S9cx,1152,,
41194,Nov,"7,",2017,11:34:24,PM,(UTC),2,QQujfYYrEd3G3bwjZWiBRzyxYwmvK3fyRy,926,,
41193,Nov,"7,",2017,11:33:52,PM,(UTC),4,QRh5HUZFz3TeHqyZiuz8Vxb7qd6DDe35DF,1410,,
41192,Nov,"7,",2017,11:33:04,PM,(UTC),2,QVgyu3LLGj35gAJ2i8wvaYqeFihShtXoCW,926,,
41191,Nov,"7,",2017,11:32:00,PM,(UTC),3,QdB6krR2kgssX7xnx8E9JPrRktfSBRBrEa,1526,,
41190,Nov,"7,",2017,11:29:20,PM,(UTC),3,QNZ3csRfHGhAd2C17ro5TAQsHbRPx85c4u,2660,,
41189,Nov,"7,",2017,11:27:44,PM,(UTC),3,QeHrAGKRym7YxjMh3gA9hmrXmAPhuXFMh6,1560,,
